loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,model
0.05768775939941406,0.9845572710037231,0.10118695348501205,0.9688541889190674,Mini-Batch SGD
0.05521963909268379,0.985755205154419,0.09888757765293121,0.9686458110809326,Mini-Batch SGD
0.05282013490796089,0.9864843487739563,0.09780707955360413,0.9697916507720947,Mini-Batch SGD
0.050619855523109436,0.9874218702316284,0.09880812466144562,0.9692708253860474,Mini-Batch SGD
0.048209525644779205,0.9882552027702332,0.09745071083307266,0.9709374904632568,Mini-Batch SGD
0.04629194736480713,0.9883333444595337,0.09552580118179321,0.9701041579246521,Mini-Batch SGD
0.04423293471336365,0.9892968535423279,0.09389760345220566,0.9712499976158142,Mini-Batch SGD
0.042359039187431335,0.9894791841506958,0.09302116185426712,0.9715625047683716,Mini-Batch SGD
0.04005151987075806,0.9904947876930237,0.09399610012769699,0.9703124761581421,Mini-Batch SGD
0.038499269634485245,0.9910677075386047,0.09124888479709625,0.971666693687439,Mini-Batch SGD
0.037096697837114334,0.991223931312561,0.09167301654815674,0.9721875190734863,Mini-Batch SGD
0.03569194674491882,0.9913541674613953,0.09127531945705414,0.971875011920929,Mini-Batch SGD
0.033851221203804016,0.99239581823349,0.09281444549560547,0.9713541865348816,Mini-Batch SGD
0.0323532298207283,0.9928385615348816,0.0924391821026802,0.971875011920929,Mini-Batch SGD
0.03129511699080467,0.9932291507720947,0.09069063514471054,0.9711458086967468,Mini-Batch SGD
0.02959657646715641,0.9935937523841858,0.08988773822784424,0.9729166626930237,Mini-Batch SGD
0.02860294282436371,0.9940885305404663,0.09038369357585907,0.9727083444595337,Mini-Batch SGD
0.0272588562220335,0.9942968487739563,0.0897088274359703,0.9733333587646484,Mini-Batch SGD
0.02596709318459034,0.994713544845581,0.0908016487956047,0.9726041555404663,Mini-Batch SGD
0.025290997698903084,0.9947916865348816,0.09135764092206955,0.9733333587646484,Mini-Batch SGD
0.024218803271651268,0.994713544845581,0.08927557617425919,0.9733333587646484,Mini-Batch SGD
0.022859958931803703,0.9958333373069763,0.08903934806585312,0.9733333587646484,Mini-Batch SGD
0.02210145816206932,0.9958593845367432,0.08899559825658798,0.973437488079071,Mini-Batch SGD
0.7869853973388672,0.7956249713897705,0.38333582878112793,0.895312488079071,Mini-Batch SGD + Early Stopping
0.34898319840431213,0.8999218940734863,0.30751168727874756,0.9139583110809326,Mini-Batch SGD + Early Stopping
0.29170793294906616,0.9162760376930237,0.26379939913749695,0.926770806312561,Mini-Batch SGD + Early Stopping
0.2560119032859802,0.9267968535423279,0.24015192687511444,0.9342708587646484,Mini-Batch SGD + Early Stopping
0.22925791144371033,0.934583306312561,0.22303304076194763,0.93770831823349,Mini-Batch SGD + Early Stopping
0.20694097876548767,0.9401822686195374,0.2023850381374359,0.9417708516120911,Mini-Batch SGD + Early Stopping
0.18923598527908325,0.9461718797683716,0.18986941874027252,0.9474999904632568,Mini-Batch SGD + Early Stopping
0.1737191528081894,0.9504427313804626,0.1773935854434967,0.9510416388511658,Mini-Batch SGD + Early Stopping
0.16137613356113434,0.9537500143051147,0.16959993541240692,0.9536458253860474,Mini-Batch SGD + Early Stopping
0.14992578327655792,0.9573437571525574,0.1610306352376938,0.9548958539962769,Mini-Batch SGD + Early Stopping
0.14065581560134888,0.9604166746139526,0.15063221752643585,0.9582291841506958,Mini-Batch SGD + Early Stopping
0.13181523978710175,0.9629427194595337,0.14688807725906372,0.9593750238418579,Mini-Batch SGD + Early Stopping
0.12362746894359589,0.965416669845581,0.13977859914302826,0.9589583277702332,Mini-Batch SGD + Early Stopping
0.11742186546325684,0.9666926860809326,0.13443437218666077,0.9615625143051147,Mini-Batch SGD + Early Stopping
0.11006686836481094,0.9686718583106995,0.1326344907283783,0.9604166746139526,Mini-Batch SGD + Early Stopping
